"hostname","timestamp","city","region_name","country_name","browser"
"csvpn-135.cs.umn.edu","2012-05-04 01:15:37","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.162 Safari/535.19"
"c-66-41-59-130.hsd1.mn.comcast.net","2012-05-04 03:01:44","Saint Paul","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.162 Safari/535.19"
"tide511.microsoft.com","2012-05-04 10:15:38","Redmond","Washington","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.168 Safari/535.19"
"tide535.microsoft.com","2012-05-04 10:26:49","Redmond","Washington","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0"
"c-76-17-134-183.hsd1.mn.comcast.net","2012-05-08 00:06:57","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0"
"c-76-17-134-183.hsd1.mn.comcast.net","2012-05-08 00:07:00","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0"
"c-76-17-134-183.hsd1.mn.comcast.net","2012-05-08 00:07:01","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0"
"c-76-17-134-183.hsd1.mn.comcast.net","2012-05-08 00:07:03","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0"
"c-76-17-134-183.hsd1.mn.comcast.net","2012-05-08 00:07:05","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0"
"c-76-17-134-183.hsd1.mn.comcast.net","2012-05-08 00:07:07","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0"
"c-76-17-134-183.hsd1.mn.comcast.net","2012-05-08 00:07:21","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0"
"12.97.19.194","2012-05-24 02:07:40","","","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"
"c-66-41-248-157.hsd1.mn.comcast.net","2012-08-29 03:06:07","Saint Paul","Minnesota","United States","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.75 Safari/537.1"
"c-66-41-248-157.hsd1.mn.comcast.net","2012-08-29 03:07:15","Saint Paul","Minnesota","United States","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.75 Safari/537.1"
"c-66-41-59-130.hsd1.mn.comcast.net","2012-08-29 10:05:39","Saint Paul","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.83 Safari/537.1"
"c-66-41-59-130.hsd1.mn.comcast.net","2012-08-29 10:10:14","Saint Paul","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.83 Safari/537.1"
"c-66-41-59-130.hsd1.mn.comcast.net","2012-08-29 11:18:38","Saint Paul","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.83 Safari/537.1"
"c-66-41-59-130.hsd1.mn.comcast.net","2012-08-29 12:46:12","Saint Paul","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.83 Safari/537.1"
"giza.cs.umn.edu","2012-08-30 12:44:03","Minneapolis","Minnesota","United States","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0"
"c-66-41-59-130.hsd1.mn.comcast.net","2012-08-30 12:51:57","Saint Paul","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.83 Safari/537.1"
"c-66-41-59-130.hsd1.mn.comcast.net","2012-09-13 23:34:29","Saint Paul","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.83 Safari/537.1"
"c-66-41-59-130.hsd1.mn.comcast.net","2012-09-13 23:34:52","Saint Paul","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.83 Safari/537.1"
"c-66-41-59-130.hsd1.mn.comcast.net","2012-09-13 23:35:05","Saint Paul","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.83 Safari/537.1"
"c-66-41-59-130.hsd1.mn.comcast.net","2012-09-13 23:39:05","Saint Paul","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.83 Safari/537.1"
"c-66-41-59-130.hsd1.mn.comcast.net","2012-09-15 23:38:20","Saint Paul","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.83 Safari/537.1"
"c-66-41-59-130.hsd1.mn.comcast.net","2012-09-15 23:40:33","Saint Paul","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.83 Safari/537.1"
"siwa-umh.cs.umn.edu","2012-09-17 12:52:48","Minneapolis","Minnesota","United States","Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.2.24) Gecko/20111107 Ubuntu/10.04 (lucid) Firefox/3.6.24"
"siwa-umh.cs.umn.edu","2012-09-17 12:53:01","Minneapolis","Minnesota","United States","Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.2.24) Gecko/20111107 Ubuntu/10.04 (lucid) Firefox/3.6.24"
"sphinx.cs.umn.edu","2012-09-19 12:20:43","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0"
"sphinx.cs.umn.edu","2012-09-19 12:23:36","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0"
"sphinx.cs.umn.edu","2012-09-19 12:26:45","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0"
"faculty-150.cs.umn.edu","2012-09-19 13:38:17","Minneapolis","Minnesota","United States","Mozilla/5.0 (Windows NT 6.1; rv:15.0) Gecko/20100101 Firefox/15.0.1"
